set_num,set_name,year,theme_id,num_parts
5001,9680,38,76,25
2229,4432,33,466,36
4205,2856,24,411,50
2697,10245,38,81,30
9372,6324,24,242,25
7698,8020,17,242,7
3169,9883,34,84,85
4299,4927,18,422,65
10724,8384,25,470,504
1885,2317,35,466,240
3125,1772,36,466,217
4459,8816,34,129,70
7130,4243,25,470,412
7080,2936,17,242,7
4122,4243,29,470,181
6190,5806,38,74,122
2549,8258,36,198,168
2030,8840,35,466,27
2240,9159,26,84,440
6036,8819,34,84,257
5258,9795,30,84,261
2911,6430,24,242,25
8208,3821,28,74,40
10131,8120,28,84,493
4998,423,31,84,493
1956,6832,31,129,313
9495,9814,41,202,37
8646,6526,41,185,3
1452,8840,35,466,38
9306,6289,35,465,102
2844,7200,16,242,6
6861,2863,24,415,187
8343,346,35,466,16
962,6153,41,466,13
9044,4105,35,466,21
6635,5578,35,466,17
9394,3654,35,466,23
9750,1140,35,465,26
9329,7544,35,465,24
9017,7809,35,466,31
6753,5809,36,442,32
11504,5915,39,79,23
4483,7170,26,411,91
8597,4747,20,242,7
1509,9562,39,78,109
2441,5569,26,411,63
2939,2191,36,81,30
3488,7974,35,466,374
11173,1734,37,131,2
7613,4487,36,466,155
8102,2068,34,468,259
11666,5589,38,131,30
5129,3389,26,74,233
9363,2793,25,234,210
10836,8045,38,131,96
5889,6202,41,187,22
8566,1424,37,226,40
8224,10221,37,226,33
8877,314,37,226,36
8681,2018,37,226,63
6916,1140,38,67,27
2916,6706,25,234,127
2775,1094,38,81,23
10657,5153,38,76,28
5967,5600,38,71,24
5918,4487,38,466,185
3268,4801,38,466,491
3430,2125,38,466,443
10955,4801,38,466,652
2736,3635,26,234,145
4509,9004,37,467,15
7693,5175,42,467,15
8949,359,37,467,16
8205,9106,37,467,21
7580,2076,42,467,21
4270,7059,37,467,19
6191,6785,37,467,21
1876,4181,42,467,21
319,2760,37,467,17
2786,3885,37,467,16
979,8749,37,467,21
5821,6388,42,467,21
4883,7299,22,362,218
2346,8752,26,234,266
343,2025,41,466,30
10608,7637,28,69,304
8302,8840,42,466,44
1422,9701,33,470,175
5870,9275,39,73,244
11293,9701,30,470,171
10491,9701,30,470,201
604,3521,44,470,164
8513,9519,26,234,51
9214,4191,37,466,417
11340,4191,37,466,613
10454,4191,37,466,450
7983,9687,38,81,108
3858,1042,39,466,140
6217,2025,40,468,30
8729,2025,40,468,28
1599,8484,26,234,100
6832,8277,38,558,3
6697,4432,38,466,22
11338,3031,38,228,25
4645,2025,39,468,49
4611,4432,38,466,43
3021,9284,38,193,338
2462,8695,38,67,418
9298,5911,41,67,270
787,990,41,466,216
6109,1140,38,67,27
2359,7109,40,81,26
3581,2115,40,128,23
8810,2689,40,189,24
5459,9689,40,147,21
9855,2025,39,468,26
6001,4487,41,466,183
2199,8840,21,468,107
10396,5747,20,234,87
4751,2025,42,466,26
3477,1701,42,73,66
952,4016,42,466,181
10026,10038,42,132,47
10825,529,42,466,326
6575,4801,42,468,645
7743,10123,42,78,24
9944,5683,20,234,146
7003,8018,42,132,19
8611,4974,42,185,23
7303,4380,42,147,23
764,8709,43,141,23
9643,9342,43,472,399
9410,6069,43,253,399
6937,9727,42,466,201
4627,5745,43,398,202
8660,4822,42,82,3
2801,1975,42,82,3
648,8358,42,558,2
1447,2098,42,558,2
679,7179,42,467,9
9717,9544,42,467,58
11009,8222,42,467,7
6339,6144,42,467,10
9523,4492,44,307,97
837,3045,42,147,3
1568,6820,42,78,24
8788,8018,42,132,19
7169,4974,42,185,23
10714,4380,42,147,23
11029,9227,43,185,18
6678,711,44,130,195
4592,5739,42,82,16
9579,3654,42,82,36
6466,8359,42,82,81
5168,3036,43,472,399
4382,1095,43,472,403
11267,4599,43,185,18
1901,910,44,147,25
4718,1029,44,307,16
497,10266,40,81,32
4840,676,44,200,109
10720,2271,43,467,8
6127,2271,43,467,7
4339,5320,43,81,109
7365,9049,43,89,109
2758,5320,43,81,109
4769,589,43,398,111
4481,2271,43,467,6
3565,2271,43,467,9
3567,4907,40,465,23
10453,2091,39,67,85
3091,5131,44,67,108
5976,4907,39,67,142
5325,1803,42,67,161
9524,1878,44,468,853
2317,3842,45,467,10
5874,8601,45,467,9
3195,9708,45,467,10
1838,6399,45,85,328
